id	next	previous	captioning	pos	angle	audio	launchAngle
1	-1	-1		2.182708,6.75,-27.85967	-0.06572163,0,0.997838		12.32245
2	-1	-1		-3.620795,6.75,-0.204751	0.07553023,0,0.9971435		12.62245
3	-1	-1		-8.570986,6.75,16.35455	0.3678265,0,0.9298944		19.67245
4	-1	-1		-20.09009,6.75,40.24396	0.9671869,0,0.2540659		30.02245
5	-1	-1		-17.22523,6.75,67.24844	0.6615496,0,-0.7499015		17.27245
6	-1	-1		33.09288,6.75,34.40944	-0.955886,0,0.2937378		19.82245
7	-1	-1		22.8359,7.078114,75.23605	-0.3260947,0,-0.9453372		7.822454
8	-1	-1		43.4802,6.810634,39.31849	-0.999774,0,-0.02125907		10.22245
9	-1	-1		-21.03954,7.343294,16.32549	-0.9279541,0,0.3726945		6.322452
10	-1	-1		-35.81959,8.173788,27.73336	-0.999838,0,0.01800781		2.872452
11	-1	-1		-34.90803,8.173788,78.34873	-0.999838,0,0.01800781		2.872452
14	-1	-1		-23.91282,9.081729,100.0217	0.03108227,0,0.9995168		-0.2775574
15	-1	-1		17.3644,8.905059,98.73807	-0.01603595,0,0.9998714		0.3224491
16	-1	-1		21.07788,7.601853,93.86936	0.9864836,0,-0.16386		5.122449
17	-1	-1		48.43676,7.818747,105.3458	-0.778587,0,-0.6275367		4.22245

